id,name,pref,area,home,original,simple,format,princess,luxury
1990,リストランテ　オステリア,東京都,赤坂・六本木・麻布,7,6,9,18,4,6
1991,小さな結婚式　大宮店,埼玉県,大宮・さいたま・浦和・川口周辺,1,3,8,3,1,1
1999,フォレストテラス明治神宮,東京都,青山・表参道・渋谷・原宿,0,2,2,7,1,2
2000,リストランテ　ベニーレベニーレ,東京都,青山・表参道・渋谷・原宿,7,3,5,9,2,4
2001,小さな結婚式　横浜店,神奈川県,横浜・新横浜・川崎,1,4,5,7,0,2
2005,グランブリエ東京,東京都,銀座,3,3,4,13,6,4
2007,ザ・セレクトンプレミア 神戸三田ホテル,兵庫県,神戸・淡路島・阪神間,2,3,4,10,4,6
2014,ロワジールホテル豊橋,愛知県,東三河・蒲郡,5,3,2,10,3,4
2016,エクシブ有馬離宮,兵庫県,神戸・淡路島・阪神間,6,3,4,13,3,4
2022,東武ホテルレバント東京,東京都,上野・浅草・墨田・江東・江戸川などスカイツリー（R）周辺エリア,3,2,4,11,3,4
2023,エレガンテヴィータ【ウエディング】,東京都,白金・恵比寿・代官山・広尾,7,4,5,9,3,5
2029,マリクオーレ,愛知県,名古屋市・周辺,4,3,4,3,1,2
2030,アニヴェルセル江坂,大阪府,大阪市北部・北摂・京阪,6,6,4,13,5,7
2031,ホテル メルパルクOSAKA,大阪府,大阪市北部・北摂・京阪,3,3,3,11,4,5
2032,アヴァンセ リアン　大阪,大阪府,大阪市北部・北摂・京阪,6,4,2,10,3,5
2071,八坂神社常磐新殿,京都府,京都市・周辺,1,0,2,6,1,1
2074,THE LANDMARK SQUARE OSAKA,大阪府,大阪市北部・北摂・京阪,3,3,4,8,4,5
2078,Anniversary.An EBISU,東京都,白金・恵比寿・代官山・広尾,7,4,3,7,5,2
2079,サンシャインスカイブライダル,東京都,池袋・練馬・文京・板橋,4,2,6,10,3,4
2084,THE CONDER HOUSE,愛知県,名古屋市・周辺,3,3,3,13,3,7
2085,京都ホテルオークラ,京都府,京都市・周辺,2,3,3,10,4,5
2088,ホテル国際21,長野県,長野県全域,5,3,4,10,5,6
2090,THE FIVE SEASONS ,長野県,長野県全域,6,4,5,13,5,5
2091,ラ・ブーレット　－La　BOULETTEー,東京都,青山・表参道・渋谷・原宿,4,4,6,7,3,1
2094,ホテル・ザ・ウエストヒルズ・水戸,茨城県,茨城県全域,3,2,5,8,1,4
2095,ラ・マーレ　プライベートガーデン,長野県,長野県全域,4,4,5,8,4,5
2103,Ｂａｕｍ（バウム）,茨城県,茨城県全域,2,3,5,4,2,2
2104,SU CASA（ス カーサ）　,茨城県,茨城県全域,6,5,7,11,3,3
2105,ALAISE(アレーズ) ,茨城県,茨城県全域,3,4,5,9,3,2
2108,スタイリッシュウエディング　ヴィーナスコート長野,長野県,長野県全域,4,6,6,11,4,4
2109,スタイリッシュウエディング　ヴィーナスコート佐久平,長野県,長野県全域,4,6,5,13,5,4
2112,三河湾リゾートリンクス,愛知県,西三河,5,3,5,11,2,4
2113,ウィシュトンホテル・ユーカリ,千葉県,柏・成田・房総・その他,3,3,5,11,3,4
2116,ベルフーガ,栃木県,栃木県全域,4,5,5,9,2,5
2118,エヴァンタイユ,群馬県,群馬県全域,3,4,5,9,4,4
2119,ホテル ベラヴィータ,群馬県,群馬県全域,2,3,6,9,4,5
2124,エテルナ高崎,群馬県,群馬県全域,6,5,4,11,5,5
2127,ララシャンスOKAZAKI迎賓館,愛知県,西三河,5,4,4,13,5,6
2130,小さな結婚式　お台場店,東京都,お台場・豊洲・竹芝・晴海周辺の東京ベイエリア,1,1,5,4,0,2
2150,ザ・リーヴス プレミアムテラス,群馬県,群馬県全域,3,3,5,9,4,5
2152,レストラン　ル・ジャルダン,東京都,品川・目黒・浜松町・世田谷,4,6,4,8,2,3
2153,ホテル北野クラブ　HOTEL KITANO CLUB,兵庫県,神戸・淡路島・阪神間,6,6,4,12,5,4
2154,北野クラブ・ソラ　ＫＩＴＡＮＯ ＣＬＵＢ ＳＯＬＡ,兵庫県,神戸・淡路島・阪神間,5,3,3,11,5,4
2155,鶴見ノ森 迎賓館,大阪府,大阪市北部・北摂・京阪,4,3,1,11,4,5
2156,オークラフロンティアホテルつくば,茨城県,茨城県全域,3,3,5,11,2,6
2158,PLEIAS OTA（プレイアス太田）,群馬県,群馬県全域,7,7,5,11,5,6
2161,千草ホテル,福岡県,北九州市・周辺（小倉ほか）,4,4,5,10,5,4
2163,アルマリアンFUKUOKA,福岡県,福岡市・周辺（博多・天神ほか）,4,4,3,5,6,1
2167,KKRホテル博多,福岡県,福岡市・周辺（博多・天神ほか）,4,4,7,10,3,4
2182,東京ステーションホテル,東京都,東京駅・皇居周辺,3,3,4,21,1,12
2184,小さな結婚式　札幌店,北海道,札幌市・札幌近郊,4,2,3,6,2,1
2185,小さな結婚式　福岡店,福岡県,福岡市・周辺（博多・天神ほか）,7,4,7,2,2,0
2186,小さな結婚式　千葉店,千葉県,千葉・舞浜・浦安・幕張,2,1,5,8,3,6
2187,神戸メリケンパークオリエンタルホテル,兵庫県,神戸・淡路島・阪神間,5,2,4,10,4,6
2188,ホテルモントレ札幌,北海道,札幌市・札幌近郊,3,3,4,12,4,4
2189,ホテルモントレエーデルホフ札幌,北海道,札幌市・札幌近郊,6,3,4,12,7,5
2190,藻岩シャローム教会,北海道,札幌市・札幌近郊,5,5,4,10,5,6
2191,ブルーミントンヒル,北海道,旭川・富良野・道北,5,4,3,9,6,5
2196,ホテルハーヴェスト旧軽井沢,長野県,長野県全域,5,2,4,10,5,5
2203,札幌グランドホテル,北海道,札幌市・札幌近郊,3,3,4,12,3,8
2204,赤坂ル・アンジェ教会,福岡県,福岡市・周辺（博多・天神ほか）,7,4,6,10,4,5
2207,GRANADA SUITE 福岡,福岡県,福岡市・周辺（博多・天神ほか）,2,3,3,10,2,3
2208,THE MARCUS SQUARE アゴーラ福岡　山の上ホテル＆スパ,福岡県,福岡市・周辺（博多・天神ほか）,3,4,2,12,4,5
2210,ヒルトン福岡シーホーク,福岡県,福岡市・周辺（博多・天神ほか）,2,2,4,12,4,7
2212,Ritz5,福岡県,福岡市・周辺（博多・天神ほか）,6,8,3,7,3,1
2213,THE MEETS MARINA TERRACE（ザ・ミーツ　マリーナテラス）,千葉県,千葉・舞浜・浦安・幕張,4,4,5,12,5,6
2214,THE SURF OCEAN TERRACE（ザ・サーフ　オーシャンテラス）,千葉県,千葉・舞浜・浦安・幕張,4,3,3,9,3,4
2215,フェアブルーム水戸アメイジングステージ,茨城県,茨城県全域,4,5,4,10,4,4
2216,ディアステージつくばフォレストテラス,茨城県,茨城県全域,6,5,4,10,4,5
2217,ヒルズスィーツ宇都宮ブリーズテラス,栃木県,栃木県全域,3,3,4,9,3,5
2218,エヴァウイン小山プレミアムスィーツ,栃木県,栃木県全域,4,5,5,11,5,8
2219,マリコレ ウェディングリゾート,福岡県,北九州市・周辺（小倉ほか）,6,6,2,9,3,5
2220,鞘ヶ谷ガーデンアグラス,福岡県,北九州市・周辺（小倉ほか）,7,8,4,5,0,0
2223,タカクラホテル福岡,福岡県,福岡市・周辺（博多・天神ほか）,3,3,4,10,6,7
